syllabus_id,syllabus_name,technical_group,target_audience,syllabus_objectives,syllabus_materials,unit_name,unit_title,unit_objectives,unit_materials,topic_name,topic_title,topic_objectives,topic_materials,fetched_at
108288,linhfixbug - version 1,Others,linhfixbug,linhfixbug,,Modulelinhcheck02,Modulelinhcheck02/Others,Modulelinhcheck04,,Topiclinh06,Topiclinh06/Others,Topiclinh08,,2026-04-15T17:17:49
108288,linhfixbug - version 1,Others,linhfixbug,linhfixbug,,Modulelinhcheck02,Modulelinhcheck02/Others,Modulelinhcheck04,,Topiclinh07,Topiclinh07/Others,Topiclinh09,,2026-04-15T17:17:49
108288,linhfixbug - version 1,Others,linhfixbug,linhfixbug,,Topiclinh06,Topiclinh06/Others,Topiclinh08,,,,,,2026-04-15T17:17:49
108288,linhfixbug - version 1,Others,linhfixbug,linhfixbug,,Topiclinh07,Topiclinh07/Others,Topiclinh09,,,,,,2026-04-15T17:17:49
108288,linhfixbug - version 1,Others,linhfixbug,linhfixbug,,Topiclinh05,Topiclinh05/Others,Topiclinh07,,,,,,2026-04-15T17:17:49
89101,English Everyday - version 1,Natural Language/English,None,None,,English Everyday,English Everyday/Natural Language/English,None,,English Everyday,English Everyday/Natural Language/English,None,,2026-04-15T17:17:49
108271,English Everyday - version 1,Natural Language/English,None,None,,English Everyday,English Everyday/Natural Language/English,None,,English Everyday,English Everyday/Natural Language/English,None,,2026-04-15T17:17:49
108250,English Everyday - version 2,Natural Language/English,None,None444,,English Everyday,English Everyday/Natural Language/English,None,,English Everyday,English Everyday/Natural Language/English,None444,,2026-04-15T17:17:49
108247,English Everyday - version 2,Natural Language/English,None,None0,,English Everyday,English Everyday/Natural Language/English,None,,English Everyday,English Everyday/Natural Language/English,None,,2026-04-15T17:17:49
108241,English Everyday - version 3,Natural Language/English,None,None 0000,,English Everyday,English Everyday/Natural Language/English,None,,English Everyday,English Everyday/Natural Language/English,None,,2026-04-15T17:17:49
108241,English Everyday - version 3,Natural Language/English,None,None 0000,,Real-World Automative Automation Project and Best Practices,Real-World Automative Automation Project and Best Practices/Natural Language/English,"- Gain a foundational understanding of Python programming, including variables, data types, control structures, functions, and basic libraries.
- Develop the skills needed to write simple Python programs to solve problems and perform tasks efficiently.
- Understand core programming concepts such as loops, conditional statements, and error handling, which form the building blocks for creating automation tools.
- Be prepared to advance to the next level, where they can start building automation scripts and tools aimed at reducing manual work and increasing productivity.",,,,,,2026-04-15T17:17:49
108241,English Everyday - version 3,Natural Language/English,None,None 0000,,3333,3333/Softskill,111\\,,,,,,2026-04-15T17:17:49
108096,English Everyday - version 2,Natural Language/English,None,None,,English Everyday,English Everyday/Natural Language/English,None,,English Everyday,English Everyday/Natural Language/English,None,,2026-04-15T17:17:49
108096,English Everyday - version 2,Natural Language/English,None,None,,Real-World Automative Automation Project and Best Practices,Real-World Automative Automation Project and Best Practices/Natural Language/English,"- Gain a foundational understanding of Python programming, including variables, data types, control structures, functions, and basic libraries.
- Develop the skills needed to write simple Python programs to solve problems and perform tasks efficiently.
- Understand core programming concepts such as loops, conditional statements, and error handling, which form the building blocks for creating automation tools.
- Be prepared to advance to the next level, where they can start building automation scripts and tools aimed at reducing manual work and increasing productivity.",,,,,,2026-04-15T17:17:49
108096,English Everyday - version 2,Natural Language/English,None,None,,3333,3333/Softskill,111\\,,,,,,2026-04-15T17:17:49
22651,English Everyday - version 1,Natural Language/English,None,None,,English Everyday,English Everyday/Natural Language/English,None,,English Everyday,English Everyday/Natural Language/English,None,,2026-04-15T17:17:49
89106,Talent Korean BrSE training course - version 2,Natural Language/Korean,"Key talent từ các đơn vị được lựa chọn theo các tiêu chí theo kết quả đánh giá từ CV, phỏng vấn và được trưởng đơn vị approve:
- Ít nhất 5 năm kinh nghiệm làm việc tại ngành IT và tối thiểu 2~3 năm kinh nghiệm tại Fsoft trong các role: PM, BrSE, BA, Dev, Test…
- Giao tiếp tốt bằng tiếng Anh
- Yêu thích Hàn Quốc, các dự án khách Hàn, và mong muốn onsite dài hạn tại Hàn Quốc, có kinh nghiệm onsite là một lợi thế
- Sẵn sàng dành toàn bộ thời gian cho học tiếng Hàn để đạt được mục tiêu trên.","Khóa học bao gồm hai giai đoạn:
1. Giai đoạn 1: Tiếng Hàn sơ trung cấp
- Tập trung vào học ngữ pháp và từ vựng từ sơ cấp đến trung cấp, mục tiêu kết thúc khóa đạt trình độ đọc viết tương đương TOPIK 3.
- Khả năng đọc, hiểu các tài liệu IT sơ cấp.
- Nghe, hiểu và truyền tải được yêu cầu từ khách hàng chuyên ngành IT và trình độ OPIc IL.

2. Giai đoạn 2: OJT tại Hàn Quốc
 - Tham gia dự án tại Hàn đồng thời học tiếng Hàn tại FPT Korea.
 - Chương trình học tiếng Hàn do FKR.CTC tổ chức (nội dung: speaking với giáo viên người Hàn)
 - Yêu cầu đầu ra: pass bài thi của FKR.CTC",,Giai đoạn 1: Tiếng Hàn sơ trung cấp,Giai đoạn 1: Tiếng Hàn sơ trung cấp/Natural Language/Korean,11,,"Vị trí của đồ vật, Địa điểm và phương hướng trong tiếng Hàn, Mùa và thời tiết","Vị trí của đồ vật, Địa điểm và phương hướng trong tiếng Hàn, Mùa và thời tiết/Natural Language/Korean","Học viên nắm được cách giới thiệu nghề nghiệp của bản thân. 
Biết cách nói
số đếm, thời gian, ngày tháng và thứ trong tiếng Hàn
Biết cách nói về các hoạt động yêu thích vào cuối tuần
Nắm được cách nói đồ vật và vị trí của đồ vật nằm ở đâu
Nắm được đuôi câu hay sử dụng trong tiếng Hàn và quá khứ của nó",,2026-04-15T17:17:49
89106,Talent Korean BrSE training course - version 2,Natural Language/Korean,"Key talent từ các đơn vị được lựa chọn theo các tiêu chí theo kết quả đánh giá từ CV, phỏng vấn và được trưởng đơn vị approve:
- Ít nhất 5 năm kinh nghiệm làm việc tại ngành IT và tối thiểu 2~3 năm kinh nghiệm tại Fsoft trong các role: PM, BrSE, BA, Dev, Test…
- Giao tiếp tốt bằng tiếng Anh
- Yêu thích Hàn Quốc, các dự án khách Hàn, và mong muốn onsite dài hạn tại Hàn Quốc, có kinh nghiệm onsite là một lợi thế
- Sẵn sàng dành toàn bộ thời gian cho học tiếng Hàn để đạt được mục tiêu trên.","Khóa học bao gồm hai giai đoạn:
1. Giai đoạn 1: Tiếng Hàn sơ trung cấp
- Tập trung vào học ngữ pháp và từ vựng từ sơ cấp đến trung cấp, mục tiêu kết thúc khóa đạt trình độ đọc viết tương đương TOPIK 3.
- Khả năng đọc, hiểu các tài liệu IT sơ cấp.
- Nghe, hiểu và truyền tải được yêu cầu từ khách hàng chuyên ngành IT và trình độ OPIc IL.

2. Giai đoạn 2: OJT tại Hàn Quốc
 - Tham gia dự án tại Hàn đồng thời học tiếng Hàn tại FPT Korea.
 - Chương trình học tiếng Hàn do FKR.CTC tổ chức (nội dung: speaking với giáo viên người Hàn)
 - Yêu cầu đầu ra: pass bài thi của FKR.CTC",,Giai đoạn 1: Tiếng Hàn sơ trung cấp,Giai đoạn 1: Tiếng Hàn sơ trung cấp/Natural Language/Korean,11,,Bảng chữ cái và Chào hỏi trong tiếng Hàn,Bảng chữ cái và Chào hỏi trong tiếng Hàn/Natural Language/Korean,"Học viên nắm được cách giới thiệu nghề nghiệp của bản thân. 
Biết cách nói
số đếm, thời gian, ngày tháng và thứ trong tiếng Hàn
Biết cách nói về các hoạt động yêu thích vào cuối tuần
Nắm được cách nói đồ vật và vị trí của đồ vật nằm ở đâu
Nắm được đuôi câu hay sử dụng trong tiếng Hàn và quá khứ của nó",,2026-04-15T17:17:49
89106,Talent Korean BrSE training course - version 2,Natural Language/Korean,"Key talent từ các đơn vị được lựa chọn theo các tiêu chí theo kết quả đánh giá từ CV, phỏng vấn và được trưởng đơn vị approve:
- Ít nhất 5 năm kinh nghiệm làm việc tại ngành IT và tối thiểu 2~3 năm kinh nghiệm tại Fsoft trong các role: PM, BrSE, BA, Dev, Test…
- Giao tiếp tốt bằng tiếng Anh
- Yêu thích Hàn Quốc, các dự án khách Hàn, và mong muốn onsite dài hạn tại Hàn Quốc, có kinh nghiệm onsite là một lợi thế
- Sẵn sàng dành toàn bộ thời gian cho học tiếng Hàn để đạt được mục tiêu trên.","Khóa học bao gồm hai giai đoạn:
1. Giai đoạn 1: Tiếng Hàn sơ trung cấp
- Tập trung vào học ngữ pháp và từ vựng từ sơ cấp đến trung cấp, mục tiêu kết thúc khóa đạt trình độ đọc viết tương đương TOPIK 3.
- Khả năng đọc, hiểu các tài liệu IT sơ cấp.
- Nghe, hiểu và truyền tải được yêu cầu từ khách hàng chuyên ngành IT và trình độ OPIc IL.

2. Giai đoạn 2: OJT tại Hàn Quốc
 - Tham gia dự án tại Hàn đồng thời học tiếng Hàn tại FPT Korea.
 - Chương trình học tiếng Hàn do FKR.CTC tổ chức (nội dung: speaking với giáo viên người Hàn)
 - Yêu cầu đầu ra: pass bài thi của FKR.CTC",,Giai đoạn 1: Tiếng Hàn sơ trung cấp,Giai đoạn 1: Tiếng Hàn sơ trung cấp/Natural Language/Korean,11,,"Ôn tập tổng hợp
Test thử bài thi OPIC","Ôn tập tổng hợp
Test thử bài thi OPIC/Natural Language/Korean","Học viên nắm được cách giới thiệu nghề nghiệp của bản thân. 
Biết cách nói
số đếm, thời gian, ngày tháng và thứ trong tiếng Hàn
Biết cách nói về các hoạt động yêu thích vào cuối tuần
Nắm được cách nói đồ vật và vị trí của đồ vật nằm ở đâu
Nắm được đuôi câu hay sử dụng trong tiếng Hàn và quá khứ của nó",,2026-04-15T17:17:49
89106,Talent Korean BrSE training course - version 2,Natural Language/Korean,"Key talent từ các đơn vị được lựa chọn theo các tiêu chí theo kết quả đánh giá từ CV, phỏng vấn và được trưởng đơn vị approve:
- Ít nhất 5 năm kinh nghiệm làm việc tại ngành IT và tối thiểu 2~3 năm kinh nghiệm tại Fsoft trong các role: PM, BrSE, BA, Dev, Test…
- Giao tiếp tốt bằng tiếng Anh
- Yêu thích Hàn Quốc, các dự án khách Hàn, và mong muốn onsite dài hạn tại Hàn Quốc, có kinh nghiệm onsite là một lợi thế
- Sẵn sàng dành toàn bộ thời gian cho học tiếng Hàn để đạt được mục tiêu trên.","Khóa học bao gồm hai giai đoạn:
1. Giai đoạn 1: Tiếng Hàn sơ trung cấp
- Tập trung vào học ngữ pháp và từ vựng từ sơ cấp đến trung cấp, mục tiêu kết thúc khóa đạt trình độ đọc viết tương đương TOPIK 3.
- Khả năng đọc, hiểu các tài liệu IT sơ cấp.
- Nghe, hiểu và truyền tải được yêu cầu từ khách hàng chuyên ngành IT và trình độ OPIc IL.

2. Giai đoạn 2: OJT tại Hàn Quốc
 - Tham gia dự án tại Hàn đồng thời học tiếng Hàn tại FPT Korea.
 - Chương trình học tiếng Hàn do FKR.CTC tổ chức (nội dung: speaking với giáo viên người Hàn)
 - Yêu cầu đầu ra: pass bài thi của FKR.CTC",,Giai đoạn 1: Tiếng Hàn sơ trung cấp,Giai đoạn 1: Tiếng Hàn sơ trung cấp/Natural Language/Korean,11,,Ôn tập tổng hợp,Ôn tập tổng hợp/Natural Language/Korean,"Học viên nắm được cách giới thiệu nghề nghiệp của bản thân. 
Biết cách nói
số đếm, thời gian, ngày tháng và thứ trong tiếng Hàn
Biết cách nói về các hoạt động yêu thích vào cuối tuần
Nắm được cách nói đồ vật và vị trí của đồ vật nằm ở đâu
Nắm được đuôi câu hay sử dụng trong tiếng Hàn và quá khứ của nó",,2026-04-15T17:17:49
89106,Talent Korean BrSE training course - version 2,Natural Language/Korean,"Key talent từ các đơn vị được lựa chọn theo các tiêu chí theo kết quả đánh giá từ CV, phỏng vấn và được trưởng đơn vị approve:
- Ít nhất 5 năm kinh nghiệm làm việc tại ngành IT và tối thiểu 2~3 năm kinh nghiệm tại Fsoft trong các role: PM, BrSE, BA, Dev, Test…
- Giao tiếp tốt bằng tiếng Anh
- Yêu thích Hàn Quốc, các dự án khách Hàn, và mong muốn onsite dài hạn tại Hàn Quốc, có kinh nghiệm onsite là một lợi thế
- Sẵn sàng dành toàn bộ thời gian cho học tiếng Hàn để đạt được mục tiêu trên.","Khóa học bao gồm hai giai đoạn:
1. Giai đoạn 1: Tiếng Hàn sơ trung cấp
- Tập trung vào học ngữ pháp và từ vựng từ sơ cấp đến trung cấp, mục tiêu kết thúc khóa đạt trình độ đọc viết tương đương TOPIK 3.
- Khả năng đọc, hiểu các tài liệu IT sơ cấp.
- Nghe, hiểu và truyền tải được yêu cầu từ khách hàng chuyên ngành IT và trình độ OPIc IL.

2. Giai đoạn 2: OJT tại Hàn Quốc
 - Tham gia dự án tại Hàn đồng thời học tiếng Hàn tại FPT Korea.
 - Chương trình học tiếng Hàn do FKR.CTC tổ chức (nội dung: speaking với giáo viên người Hàn)
 - Yêu cầu đầu ra: pass bài thi của FKR.CTC",,Giai đoạn 1: Tiếng Hàn sơ trung cấp,Giai đoạn 1: Tiếng Hàn sơ trung cấp/Natural Language/Korean,11,,"Gia đình và xã hội
OPIc: Ngày lễ/ Hotel/ Cuộc hẹn; Role play theo chủ đề; Mở rộng thêm các chủ đề khác","Gia đình và xã hội
OPIc: Ngày lễ/ Hotel/ Cuộc hẹn; Role play theo chủ đề; Mở rộng thêm các chủ đề khác/Natural Language/Korean","Học viên nắm được cách giới thiệu nghề nghiệp của bản thân. 
Biết cách nói
số đếm, thời gian, ngày tháng và thứ trong tiếng Hàn
Biết cách nói về các hoạt động yêu thích vào cuối tuần
Nắm được cách nói đồ vật và vị trí của đồ vật nằm ở đâu
Nắm được đuôi câu hay sử dụng trong tiếng Hàn và quá khứ của nó",,2026-04-15T17:17:49
89106,Talent Korean BrSE training course - version 2,Natural Language/Korean,"Key talent từ các đơn vị được lựa chọn theo các tiêu chí theo kết quả đánh giá từ CV, phỏng vấn và được trưởng đơn vị approve:
- Ít nhất 5 năm kinh nghiệm làm việc tại ngành IT và tối thiểu 2~3 năm kinh nghiệm tại Fsoft trong các role: PM, BrSE, BA, Dev, Test…
- Giao tiếp tốt bằng tiếng Anh
- Yêu thích Hàn Quốc, các dự án khách Hàn, và mong muốn onsite dài hạn tại Hàn Quốc, có kinh nghiệm onsite là một lợi thế
- Sẵn sàng dành toàn bộ thời gian cho học tiếng Hàn để đạt được mục tiêu trên.","Khóa học bao gồm hai giai đoạn:
1. Giai đoạn 1: Tiếng Hàn sơ trung cấp
- Tập trung vào học ngữ pháp và từ vựng từ sơ cấp đến trung cấp, mục tiêu kết thúc khóa đạt trình độ đọc viết tương đương TOPIK 3.
- Khả năng đọc, hiểu các tài liệu IT sơ cấp.
- Nghe, hiểu và truyền tải được yêu cầu từ khách hàng chuyên ngành IT và trình độ OPIc IL.

2. Giai đoạn 2: OJT tại Hàn Quốc
 - Tham gia dự án tại Hàn đồng thời học tiếng Hàn tại FPT Korea.
 - Chương trình học tiếng Hàn do FKR.CTC tổ chức (nội dung: speaking với giáo viên người Hàn)
 - Yêu cầu đầu ra: pass bài thi của FKR.CTC",,Giai đoạn 1: Tiếng Hàn sơ trung cấp,Giai đoạn 1: Tiếng Hàn sơ trung cấp/Natural Language/Korean,11,,"Gia đình và xã hội; 
OPIc: Role play theo chủ đề; Đồ dùng trong gia đình","Gia đình và xã hội; 
OPIc: Role play theo chủ đề; Đồ dùng trong gia đình/Natural Language/Korean","Học viên nắm được cách giới thiệu nghề nghiệp của bản thân. 
Biết cách nói
số đếm, thời gian, ngày tháng và thứ trong tiếng Hàn
Biết cách nói về các hoạt động yêu thích vào cuối tuần
Nắm được cách nói đồ vật và vị trí của đồ vật nằm ở đâu
Nắm được đuôi câu hay sử dụng trong tiếng Hàn và quá khứ của nó",,2026-04-15T17:17:49
89106,Talent Korean BrSE training course - version 2,Natural Language/Korean,"Key talent từ các đơn vị được lựa chọn theo các tiêu chí theo kết quả đánh giá từ CV, phỏng vấn và được trưởng đơn vị approve:
- Ít nhất 5 năm kinh nghiệm làm việc tại ngành IT và tối thiểu 2~3 năm kinh nghiệm tại Fsoft trong các role: PM, BrSE, BA, Dev, Test…
- Giao tiếp tốt bằng tiếng Anh
- Yêu thích Hàn Quốc, các dự án khách Hàn, và mong muốn onsite dài hạn tại Hàn Quốc, có kinh nghiệm onsite là một lợi thế
- Sẵn sàng dành toàn bộ thời gian cho học tiếng Hàn để đạt được mục tiêu trên.","Khóa học bao gồm hai giai đoạn:
1. Giai đoạn 1: Tiếng Hàn sơ trung cấp
- Tập trung vào học ngữ pháp và từ vựng từ sơ cấp đến trung cấp, mục tiêu kết thúc khóa đạt trình độ đọc viết tương đương TOPIK 3.
- Khả năng đọc, hiểu các tài liệu IT sơ cấp.
- Nghe, hiểu và truyền tải được yêu cầu từ khách hàng chuyên ngành IT và trình độ OPIc IL.

2. Giai đoạn 2: OJT tại Hàn Quốc
 - Tham gia dự án tại Hàn đồng thời học tiếng Hàn tại FPT Korea.
 - Chương trình học tiếng Hàn do FKR.CTC tổ chức (nội dung: speaking với giáo viên người Hàn)
 - Yêu cầu đầu ra: pass bài thi của FKR.CTC",,Giai đoạn 1: Tiếng Hàn sơ trung cấp,Giai đoạn 1: Tiếng Hàn sơ trung cấp/Natural Language/Korean,11,,"Mối quan hệ; 
OPIc: Sức khỏe","Mối quan hệ; 
OPIc: Sức khỏe/Natural Language/Korean","Học viên nắm được cách giới thiệu nghề nghiệp của bản thân. 
Biết cách nói
số đếm, thời gian, ngày tháng và thứ trong tiếng Hàn
Biết cách nói về các hoạt động yêu thích vào cuối tuần
Nắm được cách nói đồ vật và vị trí của đồ vật nằm ở đâu
Nắm được đuôi câu hay sử dụng trong tiếng Hàn và quá khứ của nó",,2026-04-15T17:17:49
89106,Talent Korean BrSE training course - version 2,Natural Language/Korean,"Key talent từ các đơn vị được lựa chọn theo các tiêu chí theo kết quả đánh giá từ CV, phỏng vấn và được trưởng đơn vị approve:
- Ít nhất 5 năm kinh nghiệm làm việc tại ngành IT và tối thiểu 2~3 năm kinh nghiệm tại Fsoft trong các role: PM, BrSE, BA, Dev, Test…
- Giao tiếp tốt bằng tiếng Anh
- Yêu thích Hàn Quốc, các dự án khách Hàn, và mong muốn onsite dài hạn tại Hàn Quốc, có kinh nghiệm onsite là một lợi thế
- Sẵn sàng dành toàn bộ thời gian cho học tiếng Hàn để đạt được mục tiêu trên.","Khóa học bao gồm hai giai đoạn:
1. Giai đoạn 1: Tiếng Hàn sơ trung cấp
- Tập trung vào học ngữ pháp và từ vựng từ sơ cấp đến trung cấp, mục tiêu kết thúc khóa đạt trình độ đọc viết tương đương TOPIK 3.
- Khả năng đọc, hiểu các tài liệu IT sơ cấp.
- Nghe, hiểu và truyền tải được yêu cầu từ khách hàng chuyên ngành IT và trình độ OPIc IL.

2. Giai đoạn 2: OJT tại Hàn Quốc
 - Tham gia dự án tại Hàn đồng thời học tiếng Hàn tại FPT Korea.
 - Chương trình học tiếng Hàn do FKR.CTC tổ chức (nội dung: speaking với giáo viên người Hàn)
 - Yêu cầu đầu ra: pass bài thi của FKR.CTC",,Giai đoạn 1: Tiếng Hàn sơ trung cấp,Giai đoạn 1: Tiếng Hàn sơ trung cấp/Natural Language/Korean,11,,"Sử dụng thông tin liên quan đến cửa hàng giảm giá; Mối quan hệ; 
OPIc: Internet và kỹ thuật
Thời tiết","Sử dụng thông tin liên quan đến cửa hàng giảm giá; Mối quan hệ; 
OPIc: Internet và kỹ thuật
Thời tiết/Natural Language/Korean","Học viên nắm được cách giới thiệu nghề nghiệp của bản thân. 
Biết cách nói
số đếm, thời gian, ngày tháng và thứ trong tiếng Hàn
Biết cách nói về các hoạt động yêu thích vào cuối tuần
Nắm được cách nói đồ vật và vị trí của đồ vật nằm ở đâu
Nắm được đuôi câu hay sử dụng trong tiếng Hàn và quá khứ của nó",,2026-04-15T17:17:49
89106,Talent Korean BrSE training course - version 2,Natural Language/Korean,"Key talent từ các đơn vị được lựa chọn theo các tiêu chí theo kết quả đánh giá từ CV, phỏng vấn và được trưởng đơn vị approve:
- Ít nhất 5 năm kinh nghiệm làm việc tại ngành IT và tối thiểu 2~3 năm kinh nghiệm tại Fsoft trong các role: PM, BrSE, BA, Dev, Test…
- Giao tiếp tốt bằng tiếng Anh
- Yêu thích Hàn Quốc, các dự án khách Hàn, và mong muốn onsite dài hạn tại Hàn Quốc, có kinh nghiệm onsite là một lợi thế
- Sẵn sàng dành toàn bộ thời gian cho học tiếng Hàn để đạt được mục tiêu trên.","Khóa học bao gồm hai giai đoạn:
1. Giai đoạn 1: Tiếng Hàn sơ trung cấp
- Tập trung vào học ngữ pháp và từ vựng từ sơ cấp đến trung cấp, mục tiêu kết thúc khóa đạt trình độ đọc viết tương đương TOPIK 3.
- Khả năng đọc, hiểu các tài liệu IT sơ cấp.
- Nghe, hiểu và truyền tải được yêu cầu từ khách hàng chuyên ngành IT và trình độ OPIc IL.

2. Giai đoạn 2: OJT tại Hàn Quốc
 - Tham gia dự án tại Hàn đồng thời học tiếng Hàn tại FPT Korea.
 - Chương trình học tiếng Hàn do FKR.CTC tổ chức (nội dung: speaking với giáo viên người Hàn)
 - Yêu cầu đầu ra: pass bài thi của FKR.CTC",,Giai đoạn 1: Tiếng Hàn sơ trung cấp,Giai đoạn 1: Tiếng Hàn sơ trung cấp/Natural Language/Korean,11,,"Bảo vệ môi trường; Du lịch; 
OPIc: Món ăn/Nhà hàng/ Quán cafe","Bảo vệ môi trường; Du lịch; 
OPIc: Món ăn/Nhà hàng/ Quán cafe/Natural Language/Korean","Học viên nắm được cách giới thiệu nghề nghiệp của bản thân. 
Biết cách nói
số đếm, thời gian, ngày tháng và thứ trong tiếng Hàn
Biết cách nói về các hoạt động yêu thích vào cuối tuần
Nắm được cách nói đồ vật và vị trí của đồ vật nằm ở đâu
Nắm được đuôi câu hay sử dụng trong tiếng Hàn và quá khứ của nó",,2026-04-15T17:17:49
89106,Talent Korean BrSE training course - version 2,Natural Language/Korean,"Key talent từ các đơn vị được lựa chọn theo các tiêu chí theo kết quả đánh giá từ CV, phỏng vấn và được trưởng đơn vị approve:
- Ít nhất 5 năm kinh nghiệm làm việc tại ngành IT và tối thiểu 2~3 năm kinh nghiệm tại Fsoft trong các role: PM, BrSE, BA, Dev, Test…
- Giao tiếp tốt bằng tiếng Anh
- Yêu thích Hàn Quốc, các dự án khách Hàn, và mong muốn onsite dài hạn tại Hàn Quốc, có kinh nghiệm onsite là một lợi thế
- Sẵn sàng dành toàn bộ thời gian cho học tiếng Hàn để đạt được mục tiêu trên.","Khóa học bao gồm hai giai đoạn:
1. Giai đoạn 1: Tiếng Hàn sơ trung cấp
- Tập trung vào học ngữ pháp và từ vựng từ sơ cấp đến trung cấp, mục tiêu kết thúc khóa đạt trình độ đọc viết tương đương TOPIK 3.
- Khả năng đọc, hiểu các tài liệu IT sơ cấp.
- Nghe, hiểu và truyền tải được yêu cầu từ khách hàng chuyên ngành IT và trình độ OPIc IL.

2. Giai đoạn 2: OJT tại Hàn Quốc
 - Tham gia dự án tại Hàn đồng thời học tiếng Hàn tại FPT Korea.
 - Chương trình học tiếng Hàn do FKR.CTC tổ chức (nội dung: speaking với giáo viên người Hàn)
 - Yêu cầu đầu ra: pass bài thi của FKR.CTC",,Giai đoạn 1: Tiếng Hàn sơ trung cấp,Giai đoạn 1: Tiếng Hàn sơ trung cấp/Natural Language/Korean,11,,Sử dụng thông tin liên quan đến chủ đề giao thông và đặt chỗ ở; Ăn ngoài và giao đồ ăn; OPIc: Địa điểm,Sử dụng thông tin liên quan đến chủ đề giao thông và đặt chỗ ở; Ăn ngoài và giao đồ ăn; OPIc: Địa điểm/Natural Language/Korean,"Học viên nắm được cách giới thiệu nghề nghiệp của bản thân. 
Biết cách nói
số đếm, thời gian, ngày tháng và thứ trong tiếng Hàn
Biết cách nói về các hoạt động yêu thích vào cuối tuần
Nắm được cách nói đồ vật và vị trí của đồ vật nằm ở đâu
Nắm được đuôi câu hay sử dụng trong tiếng Hàn và quá khứ của nó",,2026-04-15T17:17:49
